Clustering				DBS vs Serum	Case vs Control	Case vs Control
Sample					DBS	Serum
Hparam	Feature	Model	Reaction-Set			
common	input-reaction	rnn	1	1.0	-0.030684931506849315	0.03997779011660189
common	input-reaction	rnn	2	1.0	-0.013333333333333334	0.13071895424836602
common	input-reaction	rnn	3	1.0	-0.05321507760532151	-0.05321507760532151
common	input-reaction	rnn	4	0.06825938566552901	-0.034858387799564274	-0.013333333333333334
common	input-reaction	rnn	5	1.0	-0.017306652244456464	0.0526027397260274
common	input-reaction	rnn	6	0.06703470031545741	-0.013333333333333334	-0.004405286343612335
common	input-reaction	rnn	7	0.015772870662460567	-0.013333333333333334	0.02145922746781116
common	input-reaction	rnn	8	0.138801261829653	0.11529933481152993	-0.05321507760532151
common	input-reaction	rnn	9	0.1819975014793872	-0.034858387799564274	0.11529933481152993
common	input-reaction	rnn_delta	1	1.0	-0.013333333333333334	0.13071895424836602
common	input-reaction	rnn_delta	2	1.0	-0.013333333333333334	0.13071895424836602
common	input-reaction	rnn_delta	3	1.0	-0.013333333333333334	0.13071895424836602
common	input-reaction	rnn_delta	4	1.0	-0.011086474501108648	0.03997779011660189
common	input-reaction	rnn_delta	5	1.0	-0.04441976679622432	0.13071895424836602
common	input-reaction	rnn_delta	6	1.0	-0.04441976679622432	0.11529933481152993
common	input-reaction	rnn_delta	7	1.0	-0.04441976679622432	0.2087729039422543
common	input-reaction	rnn_delta	8	1.0	-0.013333333333333334	-0.046255506607929514
common	input-reaction	rnn_delta	9	1.0	-0.04441976679622432	0.13071895424836602
common	input-reaction-subsystem	rnn	1	1.0	-0.030684931506849315	0.03997779011660189
common	input-reaction-subsystem	rnn	2	1.0	-0.013333333333333334	0.13071895424836602
common	input-reaction-subsystem	rnn	3	1.0	-0.05321507760532151	-0.05321507760532151
common	input-reaction-subsystem	rnn	4	0.06825938566552901	-0.034858387799564274	-0.013333333333333334
common	input-reaction-subsystem	rnn	5	1.0	-0.017306652244456464	0.0526027397260274
common	input-reaction-subsystem	rnn	6	0.06703470031545741	-0.013333333333333334	-0.004405286343612335
common	input-reaction-subsystem	rnn	7	0.015772870662460567	-0.013333333333333334	0.02145922746781116
common	input-reaction-subsystem	rnn	8	0.138801261829653	0.11529933481152993	-0.05321507760532151
common	input-reaction-subsystem	rnn	9	0.1819975014793872	-0.034858387799564274	0.11529933481152993
common	input-reaction-subsystem	rnn_delta	1	1.0	-0.013333333333333334	0.13071895424836602
common	input-reaction-subsystem	rnn_delta	2	1.0	-0.013333333333333334	0.13071895424836602
common	input-reaction-subsystem	rnn_delta	3	1.0	-0.013333333333333334	0.13071895424836602
common	input-reaction-subsystem	rnn_delta	4	1.0	-0.011086474501108648	0.03997779011660189
common	input-reaction-subsystem	rnn_delta	5	1.0	-0.04441976679622432	0.13071895424836602
common	input-reaction-subsystem	rnn_delta	6	1.0	-0.04441976679622432	0.11529933481152993
common	input-reaction-subsystem	rnn_delta	7	1.0	-0.04441976679622432	0.2087729039422543
common	input-reaction-subsystem	rnn_delta	8	1.0	-0.013333333333333334	-0.046255506607929514
common	input-reaction-subsystem	rnn_delta	9	1.0	-0.04441976679622432	0.13071895424836602
common	input-subsystem	rnn	1	1.0	0.03997779011660189	0.21227197346600332
common	input-subsystem	rnn	2	1.0	-0.013333333333333334	0.13071895424836602
common	input-subsystem	rnn	3	1.0	-0.013333333333333334	0.13071895424836602
common	input-subsystem	rnn	4	1.0	0.03997779011660189	0.2191780821917808
common	input-subsystem	rnn	5	1.0	-0.013333333333333334	0.13071895424836602
common	input-subsystem	rnn	6	1.0	-0.013333333333333334	0.13071895424836602
common	input-subsystem	rnn	7	1.0	-0.013333333333333334	0.02145922746781116
common	input-subsystem	rnn	8	1.0	-0.013333333333333334	0.13071895424836602
common	input-subsystem	rnn	9	1.0	-0.013333333333333334	0.13071895424836602
common	input-subsystem	rnn_delta	1	1.0	-0.013333333333333334	0.13071895424836602
common	input-subsystem	rnn_delta	2	1.0	-0.013333333333333334	0.13071895424836602
common	input-subsystem	rnn_delta	3	1.0	-0.013333333333333334	0.13071895424836602
common	input-subsystem	rnn_delta	4	1.0	-0.013333333333333334	0.13071895424836602
common	input-subsystem	rnn_delta	5	1.0	-0.013333333333333334	0.13071895424836602
common	input-subsystem	rnn_delta	6	1.0	-0.013333333333333334	0.13071895424836602
common	input-subsystem	rnn_delta	7	1.0	-0.013333333333333334	0.13071895424836602
common	input-subsystem	rnn_delta	8	1.0	-0.013333333333333334	0.13071895424836602
common	input-subsystem	rnn_delta	9	1.0	-0.013333333333333334	0.13071895424836602
different	input-reaction	rnn	1	1.0	0.11529933481152993	-0.004405286343612335
different	input-reaction	rnn	2	1.0	0.11529933481152993	0.03997779011660189
different	input-reaction	rnn	3	1.0	0.3303964757709251	0.13071895424836602
different	input-reaction	rnn	4	0.8050513022888713	-0.05321507760532151	0.04422332780541736
different	input-reaction	rnn	5	1.0	-0.013333333333333334	-0.05321507760532151
different	input-reaction	rnn	6	1.0	0.02145922746781116	0.11529933481152993
different	input-reaction	rnn	7	-0.023890784982935155	0.03997779011660189	-0.013333333333333334
different	input-reaction	rnn	8	0.805	-0.013333333333333334	-0.030684931506849315
different	input-reaction	rnn	9	0.8050513022888713	-0.004405286343612335	-0.004405286343612335
different	input-reaction	rnn_delta	1	1.0	-0.013333333333333334	0.13071895424836602
different	input-reaction	rnn_delta	2	1.0	0.04422332780541736	0.13071895424836602
different	input-reaction	rnn_delta	3	1.0	-0.013333333333333334	0.13071895424836602
different	input-reaction	rnn_delta	4	1.0	-0.013333333333333334	0.13071895424836602
different	input-reaction	rnn_delta	5	1.0	-0.05321507760532151	0.06489994591671173
different	input-reaction	rnn_delta	6	1.0	-0.013333333333333334	0.13071895424836602
different	input-reaction	rnn_delta	7	1.0	0.03997779011660189	0.13071895424836602
different	input-reaction	rnn_delta	8	1.0	-0.013333333333333334	-0.05321507760532151
