Hparam	Feature	Model	Reaction-Set	Accuracy	AUROC	AUPRC	Precision	Recall	F1-Score
common	reaction	rnn	Reaction-Set-1	0.7819148936170213	0.42	0.15	0.6814453821466778	0.7819148936170213	0.7282311845030168
common	subsystem	rnn	Reaction-Set-1	0.7978723404255319	0.34	0.13	0.7081560283687943	0.7978723404255319	0.7444528875379939
different	reaction	rnn	Reaction-Set-1	0.6968085106382979	0.59	0.19	0.7076703021634186	0.6968085106382979	0.7021245764566961
different	subsystem	rnn	Reaction-Set-1	0.7127659574468085	0.58	0.19	0.705431367268157	0.7127659574468085	0.709047908406157
common	reaction	rnn	Reaction-Set-2	0.7819148936170213	0.49	0.16	0.6814453821466778	0.7819148936170213	0.7282311845030168
common	subsystem	rnn	Reaction-Set-2	0.7872340425531915	0.47	0.16	0.7022950035859431	0.7872340425531915	0.7385168871982478
different	reaction	rnn	Reaction-Set-2	0.6808510638297872	0.48	0.16	0.6885473725273474	0.6808510638297872	0.6846571410744369
different	subsystem	rnn	Reaction-Set-2	0.6914893617021277	0.41	0.18	0.6914893617021277	0.6914893617021277	0.6914893617021277
common	reaction	rnn	Reaction-Set-3	0.7872340425531915	0.71	0.27	0.7819104048837417	0.7872340425531915	0.7844799321527088
common	subsystem	rnn	Reaction-Set-3	0.7446808510638298	0.62	0.24	0.7382080976748361	0.7446808510638298	0.7413759185832506
different	reaction	rnn	Reaction-Set-3	0.6968085106382979	0.38	0.17	0.6929866360071519	0.6968085106382979	0.6948865604293515
different	subsystem	rnn	Reaction-Set-3	0.7712765957446809	0.39	0.19	0.7361568656001067	0.7712765957446809	0.7514358191035717
common	reaction	rnn	Reaction-Set-4	0.7606382978723404	0.38	0.13	0.6780547112462006	0.7606382978723404	0.716976280773928
common	subsystem	rnn	Reaction-Set-4	0.8191489361702128	0.53	0.28	0.7734123146357189	0.8191489361702128	0.7834937428631352
different	reaction	rnn	Reaction-Set-4	0.7074468085106383	0.55	0.2	0.7310456690722291	0.7074468085106383	0.7185112769396287
different	subsystem	rnn	Reaction-Set-4	0.6436170212765957	0.5	0.17	0.7048610351840109	0.6436170212765957	0.6707465729944393
common	reaction	rnn	Reaction-Set-5	0.7074468085106383	0.46	0.16	0.7037626393995166	0.7074468085106383	0.7055922951511289
common	subsystem	rnn	Reaction-Set-5	0.7021276595744681	0.53	0.19	0.7228443449048152	0.7021276595744681	0.7119732999582812
different	reaction	rnn	Reaction-Set-5	0.7340425531914894	0.64	0.27	0.7528779395296753	0.7340425531914894	0.7428333035341795
different	subsystem	rnn	Reaction-Set-5	0.8085106382978723	0.66	0.32	0.8085106382978723	0.8085106382978723	0.8085106382978723
common	reaction	rnn	Reaction-Set-6	0.7925531914893617	0.45	0.26	0.7408764809576517	0.7925531914893617	0.7603957834831534
common	subsystem	rnn	Reaction-Set-6	0.75	0.48	0.25	0.7263803680981595	0.75	0.7373920695154814
different	reaction	rnn	Reaction-Set-6	0.7606382978723404	0.6	0.4	0.7693903093152155	0.7606382978723404	0.7648351919394968
different	subsystem	rnn	Reaction-Set-6	0.7340425531914894	0.59	0.35	0.7764068220609504	0.7340425531914894	0.7516632066110861
common	reaction	rnn	Reaction-Set-7	0.7393617021276596	0.66	0.35	0.7898518354226737	0.7393617021276596	0.7592027175630973
common	subsystem	rnn	Reaction-Set-7	0.7287234042553191	0.68	0.59	0.7981472055380229	0.7287234042553191	0.7537870614129731
different	reaction	rnn	Reaction-Set-7	0.7872340425531915	0.66	0.45	0.7872340425531915	0.7872340425531915	0.7872340425531915
different	subsystem	rnn	Reaction-Set-7	0.6648936170212766	0.59	0.23	0.7482568692317118	0.6648936170212766	0.6973638945091339
common	reaction	rnn	Reaction-Set-8	0.7978723404255319	0.35	0.14	0.7081560283687943	0.7978723404255319	0.7444528875379939
common	subsystem	rnn	Reaction-Set-8	0.7712765957446809	0.42	0.14	0.6797692030292103	0.7712765957446809	0.7226375311481694
different	reaction	rnn	Reaction-Set-8	0.75	0.6	0.21	0.7004048582995951	0.75	0.7231372549019607
different	subsystem	rnn	Reaction-Set-8	0.723404255319149	0.5	0.24	0.7550138096626	0.723404255319149	0.7375137572404022
common	reaction	rnn	Reaction-Set-9	0.851063829787234	0.81	0.45	0.8353918575656591	0.851063829787234	0.8395861171069312
